,full_name,Current Club,nationality,minutes_played_overall,goals_overall,clean_sheets_overall
417,Mohammad Naderi,KV Kortrijk,Iran,0,0,0
418,Jarno De Smet,KV Kortrijk,Belgium,0,0,0
419,Jean Marco Toualy Dié,KV Kortrijk,Côte d'Ivoire,0,0,0
420,Larry Azouni,KV Kortrijk,Tunisia,1716,0,8
421,Jarne Jodts,KV Kortrijk,Belgium,0,0,0
422,Thomas Didillon,RSC Anderlecht,France,3600,0,9
423,Ognjen Vranješ,RSC Anderlecht,Bosnia and Herzegovina,873,0,2
424,Evgeny Makarenko,RSC Anderlecht,Ukraine,1234,0,3
425,Antonio Milić,RSC Anderlecht,Croatia,1503,0,7
426,Elias Cobbaut,RSC Anderlecht,Belgium,903,0,2
427,Sebastiaan Bornauw,RSC Anderlecht,Belgium,1879,1,3
428,Adrien Trebel,RSC Anderlecht,France,1960,3,4
429,Pieter Gerkens,RSC Anderlecht,Belgium,1977,7,6
430,Alexis Saelemaekers,RSC Anderlecht,Belgium,1980,0,7
431,Ivan Santini,RSC Anderlecht,Croatia,2507,16,7
432,Landry Dimata,RSC Anderlecht,Belgium,1492,13,5
433,Dauda Mohammed,RSC Anderlecht,Ghana,112,0,1
434,Edo Kayembe,RSC Anderlecht,Congo DR,606,0,5
435,Knowledge Musona,KSC Lokeren,Zimbabwe,825,2,1
436,Hannes Delcroix,RSC Anderlecht,Belgium,44,0,0
437,Boy de Jong,RSC Anderlecht,Netherlands,0,0,0
438,Zakaria Bakkali,RSC Anderlecht,Belgium,1072,1,2
439,Frank Boeckx,RSC Anderlecht,Belgium,0,0,0
440,Albert-Mboyo Sambi Lokonga,RSC Anderlecht,Belgium,446,0,1
441,Dennis Appiah,RSC Anderlecht,France,1372,0,4
442,Francis Amuzu,RSC Anderlecht,Belgium,1663,1,7
443,Sammy Bossut,Zulte-Waregem,Belgium,2700,0,5
444,Timothy Derijck,KAA Gent,Belgium,1849,2,5
445,Davy De Fauw,Zulte-Waregem,Belgium,2380,1,5
446,Erdin Demir,Zulte-Waregem,Sweden,1191,1,1
